event_id,avg_bbox_size,step_count
191_2024-07-30_in_17,1604.4848484848485,33
191_2024-07-30_in_18,1343.1764705882354,17
191_2024-07-27_out_27,1306.4074074074074,27
191_2024-07-27_out_28,1411.3846153846155,13
191_2024-07-27_in_28,1521.6744186046512,43
191_2024-07-27_in_29,1586.82,50
191_2024-07-25_out_31,1352.7,20
191_2024-07-25_out_32,1293.5,4
191_2024-07-25_in_43,1541.44,25
191_2024-07-24_in_29,1343.6341463414635,41
191_2024-07-23_out_22,1412.3333333333333,9
191_2024-07-23_out_23,1342.8181818181818,11
191_2024-07-23_in_24,1285.5762711864406,59
191_2024-07-23_in_25,2030.0,5
191_2024-07-20_out_21,1242.2727272727273,11
191_2024-07-20_out_22,1758.142857142857,7
191_2024-07-20_in_19,1604.5365853658536,41
191_2024-07-20_in_20,1469.2727272727273,22
191_2024-07-19_out_22,1885.0,4
191_2024-07-19_out_23,1192.0,5
191_2024-07-19_in_25,1323.142857142857,7
191_2024-07-19_in_26,1019.0,3
191_2024-07-18_out_19,1348.1764705882354,17
191_2024-07-18_out_20,1164.3333333333333,6
191_2024-07-18_in_24,1838.75,28
191_2024-07-18_in_25,1134.5263157894738,19
191_2024-07-17_out_15,1709.2,5
191_2024-07-17_out_16,1310.4,5
191_2024-07-17_in_19,1280.2307692307693,39
191_2024-07-17_in_20,1452.4705882352941,17
191_2024-07-16_out_16,1604.6,5
191_2024-07-16_out_17,1070.4444444444443,9
191_2024-07-16_in_20,1353.3050847457628,59
191_2024-07-16_in_21,2072.8333333333335,12
191_2024-07-13_out_18,1221.4,5
191_2024-07-13_out_19,317.6666666666667,3
191_2024-07-13_in_17,1614.6739130434783,46
191_2024-07-13_in_18,1051.3846153846155,13
191_2024-07-11_out_29,1301.5714285714287,14
191_2024-07-11_out_30,1394.7391304347825,23
191_2024-07-11_in_29,1359.4905660377358,53
191_2024-07-11_in_30,1382.3333333333333,24
191_2024-07-10_out_16,947.4,5
191_2024-07-10_in_20,1365.04,50
191_2024-07-09_out_24,1447.942857142857,35
191_2024-07-09_in_28,1335.0,51
191_2024-07-09_in_29,1345.5625,16
191_2024-07-06_in_21,1092.375,8
191_2024-07-06_in_22,1184.0,7
191_2024-07-05_out_23,1325.7692307692307,13
191_2024-07-05_out_24,1813.0,3
191_2024-07-05_out_25,1643.090909090909,11
191_2024-07-05_in_23,1357.0851063829787,47
191_2024-07-05_in_24,1557.9666666666667,30
191_2024-07-05_in_25,1353.2,5
191_2024-07-04_out_23,1188.25,4
191_2024-07-04_out_24,1378.5652173913043,23
191_2024-07-04_in_24,1454.4285714285713,7
191_2024-07-04_in_25,945.375,8
191_2024-07-03_out_40,1132.3333333333333,6
191_2024-07-03_in_43,1527.4375,32
191_2024-06-29_out_20,1584.4,5
191_2024-06-29_out_22,1140.2,5
191_2024-06-29_in_26,1209.88,50
191_2024-06-29_in_27,1052.0,7
191_2024-06-29_in_28,1685.4666666666667,15
191_2024-06-28_out_21,1546.75,12
191_2024-06-28_in_25,1460.2,55
191_2024-06-28_in_26,1278.5714285714287,21
191_2024-06-27_out_27,1378.3529411764705,17
191_2024-06-27_out_28,1440.0,6
191_2024-06-27_in_33,1404.4736842105262,57
191_2024-06-27_in_34,1202.2758620689656,29
191_2024-06-26_out_27,1139.0666666666666,15
191_2024-06-26_out_28,1177.4545454545455,11
191_2024-06-26_in_30,1631.3714285714286,35
191_2024-06-26_in_31,1681.5384615384614,13
191_2024-06-25_out_36,1170.4166666666667,12
191_2024-06-25_in_26,1218.5238095238096,42
191_2024-06-22_out_30,1379.090909090909,11
191_2024-06-22_in_24,1562.7916666666667,24
191_2024-06-22_in_25,1188.5714285714287,14
191_2024-06-21_out_31,1111.4,5
191_2024-06-21_out_32,1593.3125,16
191_2024-06-21_in_34,1607.3,30
191_2024-06-21_in_35,1438.7142857142858,7
191_2024-06-20_out_15,930.6,5
191_2024-06-20_out_16,1098.4615384615386,13
191_2024-06-20_in_28,1295.6538461538462,52
191_2024-06-20_in_29,1245.5555555555557,18
191_2024-06-19_out_26,1509.2727272727273,11
191_2024-06-19_in_27,1395.1785714285713,56
191_2024-06-19_in_28,1589.375,40
191_2024-06-18_out_28,942.25,8
191_2024-06-18_out_29,1242.8333333333333,12
191_2024-06-18_in_30,1264.28125,32
191_2024-06-15_out_31,1214.9565217391305,23
191_2024-06-15_in_30,964.5,8
191_2024-06-15_in_31,1552.2307692307693,13
191_2024-06-11_out_27,1314.3333333333333,18
191_2024-06-11_out_28,1391.4615384615386,13
191_2024-06-11_in_29,1222.1818181818182,44
191_2024-06-11_in_30,1233.9545454545455,44
191_2024-06-08_out_29,1236.0,26
191_2024-06-08_in_39,1425.1076923076923,65
191_2024-06-08_in_40,1281.6666666666667,30
191_2024-06-07_out_35,1224.0,17
191_2024-06-07_out_36,1330.56,25
191_2024-06-07_in_45,1197.1666666666667,30
191_2024-06-07_in_46,1176.439024390244,41
191_2024-06-06_out_34,1273.5,4
191_2024-06-06_in_38,1463.121212121212,33
191_2024-06-05_out_29,1586.0,4
191_2024-06-05_out_30,1157.3333333333333,27
191_2024-06-05_in_38,1375.9574468085107,47
191_2024-06-05_in_39,1674.8387096774193,31
114_2024-07-19_out_18,1592.25,4
114_2024-07-19_in_19,1345.0,7
114_2024-07-19_in_20,1917.5,8
114_2024-06-25_in_17,1257.8333333333333,6
114_2024-06-19_out_16,1795.8,5
